"cohort","target_variable","source_vocabulary_id","source_concept_name","source_concept_code","omop_domain_id","omop_vocabulary_id","omop_concept_name","omop_concept_code","omop_concept_id","sequence","instructions"
"breast cancer","site","ICDO3","Nipple","C50.0","Spec Anatomic Site","ICDO3","Nipple","C50.0",44497845,1,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","site","ICDO3","Central portion of breast","C50.1","Spec Anatomic Site","ICDO3","Central portion of breast","C50.1",44497846,1,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","site","ICDO3","Upper-inner quadrant of breast","C50.2","Spec Anatomic Site","ICDO3","Upper-inner quadrant of breast","C50.2",44497847,1,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","site","ICDO3","Lower-inner quadrant of breast","C50.3","Spec Anatomic Site","ICDO3","Lower-inner quadrant of breast","C50.3",44497848,1,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","site","ICDO3","Upper-outer quadrant of breast","C50.4","Spec Anatomic Site","ICDO3","Upper-outer quadrant of breast","C50.4",44497849,1,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","site","ICDO3","Lower-outer quadrant of breast","C50.5","Spec Anatomic Site","ICDO3","Lower-outer quadrant of breast","C50.5",44497850,1,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","site","ICDO3","Overlapping lesion of breast","C50.8","Spec Anatomic Site","ICDO3","Overlapping lesion of breast","C50.8",44497852,1,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","site","ICDO3","Breast, NOS","C50.9","Spec Anatomic Site","ICDO3","Breast, NOS","C50.9",44497853,1,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Adenoid cystic carcinoma","8200/3","Observation","ICDO3","Adenoid cystic carcinoma","8200/3",44498783,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Cribriform carcinoma, NOS","8201/3","Observation","ICDO3","Cribriform carcinoma, NOS","8201/3",44498785,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Tubular adenocarcinoma","8211/3","Observation","ICDO3","Tubular adenocarcinoma","8211/3",44498792,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Neuroendocrine tumor, NOS","8240/3","Observation","ICDO3","Neuroendocrine tumor, NOS","8240/3",44498805,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Neuroendocrine carcinoma, NOS","8246/3","Observation","ICDO3","Neuroendocrine carcinoma, NOS","8246/3",44498813,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Glycogen-rich carcinoma","8315/3","Observation","ICDO3","Glycogen-rich carcinoma","8315/3",44498856,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Apocrine adenocarcinoma","8401/3","Observation","ICDO3","Apocrine adenocarcinoma","8401/3",44498287,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Mucinous adenocarcinoma","8480/3","Observation","ICDO3","Mucinous adenocarcinoma","8480/3",44498341,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Signet ring cell carcinoma","8490/3","Observation","ICDO3","Signet ring cell carcinoma","8490/3",44498345,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Intraductal carcinoma, noninfiltrating, NOS","8500/2","Observation","ICDO3","Intraductal carcinoma, noninfiltrating, NOS","8500/2",44498347,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Infiltrating duct carcinoma, NOS","8500/3","Observation","ICDO3","Infiltrating duct carcinoma, NOS","8500/3",44498348,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Secretory carcinoma","8502/3","Observation","ICDO3","Secretory carcinoma","8502/3",44498351,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Intraductal papillary adenocarcinoma with invasion","8503/3","Observation","ICDO3","Intraductal papillary adenocarcinoma with invasion","8503/3",44498354,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Encapsulated papillary carcinoma","8504/2","Observation","ICDO3","Encapsulated papillary carcinoma","8504/2",44498356,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Invasive micropapillary carcinoma of breast","8507/3","Observation","ICDO3","Invasive micropapillary carcinoma of breast","8507/3",36402965,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Solid papillary carcinoma in situ","8509/2","Observation","ICDO3","Solid papillary carcinoma in situ","8509/2",42511137,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Solid papillary carcinoma with invasion","8509/3","Observation","ICDO3","Solid papillary carcinoma with invasion","8509/3",42511138,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Lobular carcinoma, NOS","8520/3","Observation","ICDO3","Lobular carcinoma, NOS","8520/3",44498367,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Infiltrating duct and lobular carcinoma","8522/3","Observation","ICDO3","Infiltrating duct and lobular carcinoma","8522/3",44498540,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Paget disease, mammary","8540/3","Observation","ICDO3","Paget disease, mammary","8540/3",44498545,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","histology","ICDO3","Metaplastic carcinoma, NOS","8575/3","Observation","ICDO3","Metaplastic carcinoma, NOS","8575/3",44498562,2,"pre-coordinate with histology concept code and look up in Condition domain"
"breast cancer","pT Category","Cancer Modifier","AJCC/UICC 7th pathological T0 Category","p-7th_AJCC/UICC-T0","Measurement","Cancer Modifier","AJCC/UICC 7th pathological T0 Category","p-7th_AJCC/UICC-T0",1634675,3,"modify parent entry in condition occurrence from pre-coordinated site/histology"
"breast cancer","pT Category","Cancer Modifier","AJCC/UICC 7th pathological T1 Category","p-7th_AJCC/UICC-T1","Measurement","Cancer Modifier","AJCC/UICC 7th pathological T1 Category","p-7th_AJCC/UICC-T1",1635422,3,"modify parent entry in condition occurrence from pre-coordinated site/histology"
"breast cancer","pT Category","Cancer Modifier","AJCC/UICC 7th pathological T1a Category","p-7th_AJCC/UICC-T1a","Measurement","Cancer Modifier","AJCC/UICC 7th pathological T1a Category","p-7th_AJCC/UICC-T1a",1633268,3,"modify parent entry in condition occurrence from pre-coordinated site/histology"
