"cohort","target_variable","source_vocabulary_id","source_concept_name","source_concept_code","omop_domain_id","omop_vocabulary_id","omop_concept_name","omop_concept_code","omop_concept_id","sequence","instructions"
"prostate cancer","site","ICDO3","Prostate gland","C61.9","Spec Anatomic Site","ICDO3","Prostate gland","C61.9",44497896,1,"pre-coordinated with histology concept code and look up in Condition domain"
"prostate cancer","histology","ICDO3","Small cell carcinoma, NOS","8041/3","Observation","ICDO3","Small cell carcinoma, NOS","8041/3",44498671,2,"pre-coordinate with histology concept code and look up in Condition domain"
"prostate cancer","histology","ICDO3","Adenocarcinoma, NOS","8140/3","Observation","ICDO3","Adenocarcinoma, NOS","8140/3",44498738,2,"pre-coordinate with histology concept code and look up in Condition domain"
"prostate cancer","histology","ICDO3","Infiltrating duct carcinoma, NOS","8500/3","Observation","ICDO3","Infiltrating duct carcinoma, NOS","8500/3",44498348,2,"pre-coordinate with histology concept code and look up in Condition domain"
"prostate cancer","pT Category","Cancer Modifier","AJCC/UICC 7th pathological T2 Category","p-7th_AJCC/UICC-T2","Measurement","Cancer Modifier","AJCC/UICC 7th pathological T2 Category","p-7th_AJCC/UICC-T2",1634491,3,"modify parent entry in condition occurrence from pre-coordinated site/histology"
"prostate cancer","pT Category","Cancer Modifier","AJCC/UICC 7th pathological T2a Category","p-7th_AJCC/UICC-T2a","Measurement","Cancer Modifier","AJCC/UICC 7th pathological T2a Category","p-7th_AJCC/UICC-T2a",1633341,3,"modify parent entry in condition occurrence from pre-coordinated site/histology"
"prostate cancer","pT Category","Cancer Modifier","AJCC/UICC 7th pathological T2b Category","p-7th_AJCC/UICC-T2b","Measurement","Cancer Modifier","AJCC/UICC 7th pathological T2b Category","p-7th_AJCC/UICC-T2b",1635038,3,"modify parent entry in condition occurrence from pre-coordinated site/histology"
"prostate cancer","pT Category","Cancer Modifier","AJCC/UICC 7th pathological T2c Category","p-7th_AJCC/UICC-T2c","Measurement","Cancer Modifier","AJCC/UICC 7th pathological T2c Category","p-7th_AJCC/UICC-T2c",1635254,3,"modify parent entry in condition occurrence from pre-coordinated site/histology"
"prostate cancer","pT Category","Cancer Modifier","AJCC/UICC 7th pathological T3 Category","p-7th_AJCC/UICC-T3","Measurement","Cancer Modifier","AJCC/UICC 7th pathological T3 Category","p-7th_AJCC/UICC-T3",1634658,3,"modify parent entry in condition occurrence from pre-coordinated site/histology"
"prostate cancer","pT Category","Cancer Modifier","AJCC/UICC 7th pathological T3a Category","p-7th_AJCC/UICC-T3a","Measurement","Cancer Modifier","AJCC/UICC 7th pathological T3a Category","p-7th_AJCC/UICC-T3a",1634714,3,"modify parent entry in condition occurrence from pre-coordinated site/histology"
"prostate cancer","pT Category","Cancer Modifier","AJCC/UICC 7th pathological T3b Category","p-7th_AJCC/UICC-T3b","Measurement","Cancer Modifier","AJCC/UICC 7th pathological T3b Category","p-7th_AJCC/UICC-T3b",1635333,3,"modify parent entry in condition occurrence from pre-coordinated site/histology"
"prostate cancer","pT Category","Cancer Modifier","AJCC/UICC 7th pathological T4 Category","p-7th_AJCC/UICC-T4","Measurement","Cancer Modifier","AJCC/UICC 7th pathological T4 Category","p-7th_AJCC/UICC-T4",1635341,3,"modify parent entry in condition occurrence from pre-coordinated site/histology"
"prostate cancer","pT Category","Cancer Modifier","AJCC/UICC 8th pathological T2 Category","p-8th_AJCC/UICC-T2","Measurement","Cancer Modifier","AJCC/UICC 8th pathological T2 Category","p-8th_AJCC/UICC-T2",1633307,3,"modify parent entry in condition occurrence from pre-coordinated site/histology"
